frame,raw_jsonl_line,raw_query_time,action_state_mm,action_next_state_mm,prediction_target_mm,prediction_state_mm,prediction_rotation_error_deg,state_x_m,state_y_m,state_z_m,state_rx_rad,state_ry_rad,state_rz_rad,state_finger_m,action_x_m,action_y_m,action_z_m,action_rx_rad,action_ry_rad,action_rz_rad,action_finger_m,prediction_x_m,prediction_y_m,prediction_z_m,prediction_rx_rad,prediction_ry_rad,prediction_rz_rad,prediction_finger_m
0,1229,24511.5857905595,423.3592351872042,423.3590722114941,418.9058707909173,8.677727093356062,2.70686751906385,0.3063921630382538,0.0002910615294240415,0.41434961557388306,2.902355909347534,-1.2015279531478882,-0.0070025245659053326,0.04137665033340454,0.6882120966911316,-0.029003186151385307,0.23382696509361267,-2.869476556777954,1.235101580619812,0.014722269959747791,0.042500000447034836,0.307267427444458,-0.0011219511507079005,0.40583255887031555,2.9535155296325684,-1.2319002151489258,-0.004743251949548721,0.04272870346903801
1,1230,24511.6859002595,423.3590722114941,423.3587339636871,362.6426281071859,101.82294719659097,1.7915466397623134,0.306393027305603,0.0002913392672780901,0.4143510162830353,2.902357816696167,-1.2015204429626465,-0.006995273754000664,0.04137665033340454,0.6882120966911316,-0.029003186151385307,0.23382696509361267,-2.869476556777954,1.235101580619812,0.014722269959747791,0.042500000447034836,0.34530121088027954,0.04041313752532005,0.32923752069473267,2.871005058288574,-1.2462424039840698,-0.029412034898996353,0.04308130219578743
2,1231,24511.786391782,423.3587339636871,423.3592613730701,409.6211559675539,13.890488636979295,2.961816230856708,0.3063927888870239,0.00028701621340587735,0.4143504202365875,2.9023478031158447,-1.2015321254730225,-0.007001677993685007,0.04137665033340454,0.6882120966911316,-0.029003186151385307,0.23382696509361267,-2.869476556777954,1.235101580619812,0.014722269959747791,0.042500000447034836,0.3180484473705292,-0.0019760737195611,0.40714141726493835,2.9291751384735107,-1.1731007099151611,-0.003652793588116765,0.04280029982328415
3,1232,24511.8866271835,423.3592613730701,423.35916651990607,262.4501792815033,169.38704019146286,27.56361341530797,0.3063925504684448,0.00028987813857384026,0.414350688457489,2.902351140975952,-1.2015312910079956,-0.006999308243393898,0.04137665033340454,0.6882120966911316,-0.029003186151385307,0.23382696509361267,-2.869476556777954,1.235101580619812,0.014722269959747791,0.042500000447034836,0.44857650995254517,-0.05175326392054558,0.33840858936309814,3.1111021041870117,-1.7803682088851929,-0.01075970008969307,0.04300738871097565
4,1233,24511.9869824015,423.35916651990607,423.35862779193303,410.9420328080869,52.201698564847256,40.35157173060802,0.30639341473579407,0.00029114034259691834,0.41435208916664124,2.9023571014404297,-1.2015306949615479,-0.006993346847593784,0.04137665033340454,0.6882120966911316,-0.029003186151385307,0.23382696509361267,-2.869476556777954,1.235101580619812,0.014722269959747791,0.042500000447034836,0.3006938695907593,0.012883013114333153,0.3640134632587433,2.8691632747650146,-2.2472939491271973,-0.004208364523947239,0.042516130954027176
5,1234,24512.088243907,423.35862779193303,423.36043575864574,400.60995318047856,44.32870945494395,5.8940344280199986,0.30639371275901794,0.00029146316228434443,0.4143514037132263,2.902358293533325,-1.2015185356140137,-0.006995480973273516,0.04137665033340454,0.6882120966911316,-0.029003186151385307,0.23382696509361267,-2.869476556777954,1.235101580619812,0.014722269959747791,0.042500000447034836,0.3152398467063904,0.014682655222713947,0.373367577791214,2.832749366760254,-1.1629146337509155,-0.005644457880407572,0.04274309426546097
6,1235,24512.188603929,423.36043575864574,423.35908595746224,413.08129905506587,11.421543874950766,2.66576721805717,0.30639204382896423,0.0002914313809014857,0.4143521189689636,2.9023520946502686,-1.2015302181243896,-0.006996104959398508,0.04137665033340454,0.6882120966911316,-0.029003186151385307,0.23382696509361267,-2.869476556777954,1.235101580619812,0.014722269959747791,0.042500000447034836,0.31646013259887695,-0.004687568172812462,0.41227972507476807,2.9532241821289062,-1.2222585678100586,-0.01735588349401951,0.04277593642473221
7,1236,24512.288530539,423.35908595746224,423.35873500892245,394.5996198680555,38.61384474109843,11.636824992527323,0.3063940405845642,0.0002896850637625903,0.41435346007347107,2.902355909347534,-1.2015272378921509,-0.006985254120081663,0.04137665033340454,0.6882120966911316,-0.029003186151385307,0.23382696509361267,-2.869476556777954,1.235101580619812,0.014722269959747791,0.042500000447034836,0.3298387825489044,0.02060377411544323,0.39135974645614624,2.8404195308685303,-1.5526338815689087,-0.007016515824943781,0.042470838874578476
8,1237,24512.3886028845,423.35873500892245,423.3593077226074,409.04178431216064,17.123904921315415,2.628599939990123,0.3063932955265045,0.00029032930615358055,0.4143509566783905,2.9023516178131104,-1.201535701751709,-0.00699853990226984,0.04137665033340454,0.6882120966911316,-0.029003186151385307,0.23382696509361267,-2.869476556777954,1.235101580619812,0.014722269959747791,0.042500000447034836,0.3157687783241272,0.0018525654450058937,0.40010708570480347,2.8591573238372803,-1.2335141897201538,-0.0271751806139946,0.0422956719994545
9,1238,24512.4888697125,423.3593077226074,423.35916422886163,417.2786890845664,15.721623720542235,3.4307996099968445,0.3063942790031433,0.0002901204861700535,0.4143544137477875,2.9023568630218506,-1.2015260457992554,-0.0069823800586164,0.04137665033340454,0.6882120966911316,-0.029003186151385307,0.23382696509361267,-2.869476556777954,1.235101580619812,0.014722269959747791,0.042500000447034836,0.31214115023612976,0.0140706617385149,0.4094310402870178,2.865316152572632,-1.1938101053237915,-0.010669120587408543,0.042795125395059586
